game_id,spread,total,provider,book_count,spread_min,spread_max
401856779,-29.5,53.5,DraftKings,1,-29.5,-29.5
401858208,-33.5,55.5,DraftKings,1,-33.5,-33.5
401856666,-46.5,66.5,DraftKings,1,-46.5,-46.5
401856635,-40.5,63.5,DraftKings,1,-40.5,-40.5
401861962,-19.5,57.5,DraftKings,1,-19.5,-19.5
401856767,-42.5,59.5,DraftKings,1,-42.5,-42.5
401862701,-36.5,51.5,DraftKings,1,-36.5,-36.5
401856658,-46.5,56.5,DraftKings,1,-46.5,-46.5
401866410,-2.5,48.5,DraftKings,1,-2.5,-2.5
401862698,-14.5,51.5,DraftKings,1,-14.5,-14.5
401864496,-28.5,58.5,DraftKings,1,-28.5,-28.5
401856659,-23.5,62.5,DraftKings,1,-23.5,-23.5
401856777,-7.25,49.5,median of 2,2,-7.5,-7.0
401869960,-6.5,50.5,median of 2,2,-6.5,-6.5
401858422,-42.5,51.5,DraftKings,1,-42.5,-42.5
401858435,-35.5,56.5,DraftKings,1,-35.5,-35.5
401864425,-23.5,51.5,DraftKings,1,-23.5,-23.5
401866409,-18.5,48.5,DraftKings,1,-18.5,-18.5
401862696,-30.5,52.5,DraftKings,1,-30.5,-30.5
401856769,-41.5,53.5,DraftKings,1,-41.5,-41.5
401864424,-28.5,55.5,DraftKings,1,-28.5,-28.5
401862694,-20.5,46.5,DraftKings,1,-20.5,-20.5
401866623,-28.5,63.5,DraftKings,1,-28.5,-28.5
401856663,-54.5,60.5,DraftKings,1,-54.5,-54.5
401862700,-28.5,59.5,DraftKings,1,-28.5,-28.5
401864499,-39.5,57.5,DraftKings,1,-39.5,-39.5
401866627,-18.5,53.5,DraftKings,1,-18.5,-18.5
401856770,-42.5,59.5,DraftKings,1,-42.5,-42.5
401856771,-40.5,55.5,DraftKings,1,-40.5,-40.5
401858427,-45.5,56.5,DraftKings,1,-45.5,-45.5
401867973,-40.5,52.5,DraftKings,1,-40.5,-40.5
401858211,-55.5,62.5,DraftKings,1,-55.5,-55.5
401856775,-51.5,61.5,DraftKings,1,-51.5,-51.5
401862697,-22.5,47.5,DraftKings,1,-22.5,-22.5
401866411,-37.5,56.5,DraftKings,1,-37.5,-37.5
401856773,-31.5,58.5,DraftKings,1,-31.5,-31.5
401856774,-43.5,52.5,DraftKings,1,-43.5,-43.5
401867866,-20.5,59.5,DraftKings,1,-20.5,-20.5
401869129,-44.5,55.5,DraftKings,1,-44.5,-44.5
401868316,-12.5,52.5,DraftKings,1,-12.5,-12.5
401868170,-25.5,51.5,DraftKings,1,-25.5,-25.5
401860880,-12.5,62.5,DraftKings,1,-12.5,-12.5
401869142,-20.5,48.5,DraftKings,1,-20.5,-20.5
401858431,-12.5,46.5,DraftKings,1,-12.5,-12.5
401860879,-40.5,61.5,DraftKings,1,-40.5,-40.5
401868356,-20.5,50.5,DraftKings,1,-20.5,-20.5
401856669,-29.5,60.5,DraftKings,1,-29.5,-29.5
401868140,-20.5,54.5,DraftKings,1,-20.5,-20.5
401867894,-30.5,57.5,Draft Kings,1,-30.5,-30.5
401858423,-28.75,51.5,median of 2,2,-29.0,-28.5
401870790,-28.5,52.5,DraftKings,1,-28.5,-28.5
401856768,-34.5,57.5,DraftKings,1,-34.5,-34.5
401868129,-3.0,50.5,median of 2,2,-3.0,-3.0
401866617,20.75,47.5,median of 2,2,20.5,21.0
401868324,0.0,56.5,median of 2,2,-19.5,19.5
401866616,10.0,46.5,median of 2,2,10.0,10.0
401868040,-12.5,47.5,median of 2,2,-12.5,-12.5
401867882,-21.0,49.5,median of 2,2,-21.5,-20.5
401867916,-5.5,40.5,median of 2,2,-5.5,-5.5
401858212,3.0,53.25,median of 2,2,3.0,3.0
401858201,-4.5,48.5,median of 3,3,-5.0,-4.5
401858436,-22.0,51.75,median of 2,2,-22.5,-21.5
401858437,-23.25,50.75,median of 2,2,-23.5,-23.0
401856772,13.25,58.75,median of 2,2,13.0,13.5
401866620,-7.0,56.5,median of 2,2,-7.0,-7.0
401868101,-34.5,53.5,median of 2,2,-34.5,-34.5
401866621,-8.5,58.5,median of 2,2,-8.5,-8.5
401858425,-40.25,55.5,median of 2,2,-40.5,-40.0
401866619,4.25,45.5,median of 2,2,4.0,4.5
401868394,-7.5,45.5,median of 2,2,-7.5,-7.5
401858206,24.5,48.5,median of 2,2,24.5,24.5
401856667,-29.5,59.75,median of 2,2,-29.5,-29.5
401868084,-5.5,55.5,median of 2,2,-5.5,-5.5
401868022,14.0,47.5,median of 2,2,14.0,14.0
