game_id,spread,total,provider,book_count,spread_min,spread_max
401858423,-30.5,54.5,median of 2,2,-30.5,-30.5
401858201,-4.5,49.5,median of 2,2,-6.0,-3.0
401858436,-23.0,51.5,median of 2,2,-23.5,-22.5
401858212,2.5,53.0,median of 2,2,2.5,2.5
401869960,-6.25,52.5,median of 2,2,-6.5,-6.0
401856777,-8.5,54.5,median of 2,2,-9.5,-7.5
401858202,-4.25,53.5,median of 2,2,-5.5,-3.0
401862693,-4.25,57.5,median of 2,2,-5.5,-3.0
401858206,22.5,49.5,median of 2,2,21.5,23.5
401856667,-30.5,60.0,median of 2,2,-30.5,-30.5
401856772,12.75,61.0,median of 2,2,11.5,14.0
401858209,-8.5,52.0,median of 2,2,-8.5,-8.5
401858425,-40.75,55.5,median of 2,2,-41.0,-40.5
401858437,-22.25,50.5,median of 2,2,-23.0,-21.5
401856776,-7.0,50.5,median of 2,2,-7.0,-7.0
401856661,-6.5,55.5,median of 2,2,-6.5,-6.5
401858424,-27.5,57.0,median of 2,2,-27.5,-27.5
401856636,-6.75,59.25,median of 2,2,-7.0,-6.5
401856662,-28.5,55.5,median of 2,2,-28.5,-28.5
401866408,-8.5,52.5,median of 2,2,-8.5,-8.5
401856634,-27.0,54.0,median of 2,2,-28.5,-25.5
401856766,-7.5,48.5,median of 2,2,-8.5,-6.5
401858428,-26.5,47.5,median of 2,2,-26.5,-26.5
401864432,3.25,53.0,median of 2,2,2.5,4.0
401858430,-23.75,47.5,median of 2,2,-24.0,-23.5
401858433,-24.5,52.0,median of 2,2,-24.5,-24.5
401864498,-12.75,49.0,median of 2,2,-13.0,-12.5
401870763,-16.25,51.5,median of 2,2,-16.5,-16.0
401858426,-30.25,45.5,median of 2,2,-31.0,-29.5
401862699,-13.0,55.0,median of 2,2,-13.5,-12.5
401858210,0.0,54.0,median of 2,2,-1.5,1.5
401858438,-20.5,47.5,median of 2,2,-20.5,-20.5
401864497,2.0,58.5,median of 2,2,1.5,2.5
401856665,-35.5,53.0,median of 2,2,-36.5,-34.5
401858434,-24.0,54.5,median of 2,2,-24.5,-23.5
401864570,-30.25,53.0,median of 2,2,-31.0,-29.5
401864494,-36.75,59.5,median of 2,2,-38.0,-35.5
401860878,-3.75,48.0,median of 2,2,-4.0,-3.5
401856778,-19.25,51.0,median of 2,2,-20.0,-18.5
401856637,-26.0,58.5,median of 2,2,-26.5,-25.5
401864577,-8.5,48.0,median of 2,2,-10.0,-7.0
401858207,-16.25,50.5,median of 2,2,-16.5,-16.0
401858204,-22.5,49.5,median of 2,2,-22.5,-22.5
401864495,-4.0,53.5,median of 2,2,-4.5,-3.5
401856780,-19.5,58.0,median of 2,2,-21.5,-17.5
401856660,-10.0,50.5,median of 2,2,-10.5,-9.5
401858429,-10.5,49.5,median of 2,2,-10.5,-10.5
401858432,-50.25,56.5,median of 2,2,-51.0,-49.5
401862695,-10.0,55.5,median of 2,2,-10.5,-9.5
401856664,-40.5,50.5,median of 2,2,-40.5,-40.5
401856668,-39.0,52.5,median of 2,2,-39.5,-38.5
