game_id,season,week,kickoff,home_team,away_team,neutral_site,venue,neutral_margin,hfa,hfa_elevation,coaching,situational,adjustment_total,projected_margin,projected_total,market_spread,market_total,edge,home_win_probability,bet_side,bet_line,cover_probability,expected_value,units,home_points,away_points,actual_margin,bet_result,component_fpi,weight_fpi,component_sp_plus,weight_sp_plus,component_talent,weight_talent,component_elo,weight_elo
401858425,2026,1,2026-09-05T16:00:00+00:00,Indiana,North Texas,False,"Memorial Stadium (Bloomington, IN)",27.825,3.578,0.0,1.5,0.148,1.648,33.05,60.3,-40.25,55.5,-7.2,0.9545,none,40.5,0.5147898872362984,-0.01721930618524853,0.0,,,,,29.541,0.2307,37.4,0.4236,13.33,0.3072,,
401858206,2026,1,2026-09-05T01:00:00+00:00,Stanford,Miami,False,Stanford Stadium,-21.991,3.887,0.0,-1.5,0.793,-0.707,-18.81,46.3,24.5,48.5,5.69,0.17,none,24.5,0.5034004551054606,-0.0389627675259388,0.0,,,,,-23.026,0.2307,-24.3,0.4236,-18.029,0.3072,,
401858433,2026,1,2026-09-05T19:30:00+00:00,Oregon,Boise State,False,Autzen Stadium,26.685,2.211,0.0,0.243,0.015,0.258,29.15,57.3,-24.5,51.25,4.65,0.9316,none,-24.5,0.5174918707221942,-0.012060974075811137,0.0,,,,,21.231,0.2307,24.1,0.4236,34.347,0.3072,,
401856778,2026,1,2026-09-05T16:00:00+00:00,Houston,Oregon State,False,TDECU Stadium,11.303,2.584,0.0,1.5,0.537,2.037,15.92,52.6,-20.5,49.5,-4.58,0.7899,none,20.5,0.4955169329086838,-0.05401312808342179,0.0,,,,,15.221,0.2307,13.0,0.4236,6.019,0.3072,,
401858212,2026,1,2026-09-07T23:30:00+00:00,Florida State,SMU,False,Doak Campbell Stadium,-0.936,3.449,0.0,-1.374,0.158,-1.216,1.3,54.1,3.0,53.25,4.3,0.5261,none,3.0,0.4857236069238879,-0.017431660574675212,0.0,,,,,-3.148,0.2307,-3.0,0.4236,3.573,0.3072,,
401856662,2026,1,2026-09-05T23:30:00+00:00,Mississippi State,UL Monroe,False,Davis Wade Stadium,30.009,2.447,0.0,0.258,0.0,0.258,32.71,60.6,-28.5,54.75,4.21,0.9528,none,-28.5,0.5158277950172203,-0.015237845876215739,0.0,,,,,23.337,0.2307,33.7,0.4236,29.931,0.3072,,
401858207,2026,1,2026-09-05T16:30:00+00:00,Pittsburgh,Miami (OH),False,Acrisure Stadium,9.475,2.731,0.0,0.098,0.0,0.098,12.3,48.2,-16.5,48.5,-4.2,0.7329,none,16.5,0.5041484887565928,-0.03753470328286829,0.0,,,,,13.61,0.2307,10.2,0.4236,5.37,0.3072,,
401864498,2026,1,2026-09-06T02:00:00+00:00,New Mexico,Central Michigan,False,University Stadium (NM),9.78,2.923,0.0,0.908,0.351,1.259,13.96,48.9,-10.0,46.5,3.96,0.76,none,-10.0,0.4627412846469177,-0.08904282458716684,0.0,,,,,9.275,0.2307,15.1,0.4236,2.821,0.3072,,
401856780,2026,1,2026-09-05T16:00:00+00:00,West Virginia,Coastal Carolina,False,Milan Puskar Stadium,13.126,2.632,0.0,1.304,0.038,1.342,17.1,58.6,-21.0,55.75,-3.9,0.8069,none,21.0,0.4835480821673107,-0.04295003802312941,0.0,,,,,12.29,0.2307,13.4,0.4236,13.376,0.3072,,
401856772,2026,1,2026-09-05T19:45:00+00:00,Tulsa,Oklahoma State,False,Chapman Stadium,-10.275,0.985,0.0,-0.186,0.0,-0.186,-9.48,59.7,13.25,58.75,3.77,0.3161,none,13.5,0.5167713542492561,-0.013436505524147324,0.0,,,,,-12.308,0.2307,-13.0,0.4236,-4.989,0.3072,,
401856667,2026,1,2026-09-05T19:30:00+00:00,Texas,Texas State,False,DKR-Texas Memorial Stadium,29.973,3.029,0.0,0.065,0.0,0.065,33.07,72.1,-29.5,59.75,3.57,0.9546,none,-29.5,0.5223284660201353,-0.002827473961559912,0.0,,,,,31.174,0.2307,24.9,0.4236,36.068,0.3072,,
401858424,2026,1,2026-09-04T01:00:00+00:00,Illinois,UAB,False,"Memorial Stadium (Champaign, IL)",20.643,2.128,0.0,1.5,0.056,1.556,24.33,63.6,-27.75,54.5,-3.42,0.8922,none,28.0,0.47280830254640904,-0.05984362876634364,0.0,,,,,21.766,0.2307,27.9,0.4236,9.792,0.3072,,
401858436,2026,1,2026-09-05T01:00:00+00:00,USC,Fresno State,False,Los Angeles Memorial Coliseum,21.516,3.718,0.0,0.161,0.0,0.161,25.39,52.6,-22.0,51.75,3.39,0.902,none,-21.5,0.508924521348968,-0.028416822879242798,0.0,,,,,16.052,0.2307,19.1,0.4236,28.951,0.3072,,
401869960,2026,1,2026-09-05T16:00:00+00:00,James Madison,Liberty,False,Bridgeforth Stadium,1.871,3.282,0.0,-1.5,0.0,-1.5,3.65,62.3,-6.5,50.5,-2.85,0.573,none,6.5,0.5201027514095455,-0.007076565490867548,0.0,,,,,5.722,0.2307,4.4,0.4236,-4.508,0.3072,,
401864495,2026,1,2026-09-04T22:30:00+00:00,Eastern Michigan,San José State,False,Rynearson Stadium,-0.587,1.365,0.0,-1.136,0.594,-0.542,0.24,53.7,-3.0,56.25,-2.76,0.5048,none,3.0,0.4827604734154381,-0.0230802328749366,0.0,,,,,-3.222,0.2307,-0.4,0.4236,1.14,0.3072,-4.907,0.0004
401858432,2026,1,2026-09-05T16:30:00+00:00,Ohio State,Ball State,False,Ohio Stadium,49.296,2.704,0.0,1.5,0.0,1.5,53.5,49.6,-50.75,56.5,2.75,0.997,none,-50.5,0.5041929707759732,-0.037449783064051057,0.0,,,,,45.958,0.2307,57.8,0.4236,40.075,0.3072,,
401860878,2026,1,2026-09-05T22:00:00+00:00,Colorado State,Wyoming,False,Canvas Stadium,3.399,2.99,0.0,-0.668,0.0,-0.668,5.72,37.5,-3.0,46.5,2.72,0.6135,none,-3.0,0.47248698828054475,-0.04268953580147805,0.0,,,,,0.705,0.2307,-0.8,0.4236,11.212,0.3072,,
401858210,2026,1,2026-09-06T02:30:00+00:00,California,UCLA,False,California Memorial Stadium,-1.679,3.336,0.0,-1.457,0.015,-1.442,0.21,58.4,2.25,53.75,2.46,0.5042,none,2.5,0.49268750212445694,-0.0594147686714912,0.0,,,,,0.412,0.2307,-2.4,0.4236,-2.255,0.3072,,
401856664,2026,1,2026-09-05T00:00:00+00:00,Oklahoma,UTEP,False,"Memorial Stadium (Norman, OK)",33.523,4.093,0.0,1.5,0.096,1.596,39.21,46.4,-41.5,51.5,-2.29,0.9778,none,41.5,0.5049029639698425,-0.03609434151211888,0.0,,,,,34.387,0.2307,38.1,0.4236,26.562,0.3072,,
401858437,2026,1,2026-09-06T20:00:00+00:00,Washington,Washington State,False,Husky Stadium,16.914,2.677,0.0,1.5,0.0,1.5,21.09,46.3,-23.25,50.75,-2.16,0.858,none,23.5,0.4884469627826151,-0.06751034377864379,0.0,,,,,13.947,0.2307,20.1,0.4236,14.747,0.3072,,
401858426,2026,1,2026-09-05T20:15:00+00:00,Iowa,Northern Illinois,False,Kinnick Stadium,25.981,1.637,0.0,1.5,0.0,1.5,29.12,46.2,-31.25,44.5,-2.13,0.9314,none,31.5,0.4897215263655585,-0.06507708602938822,0.0,,,,,25.079,0.2307,31.8,0.4236,18.632,0.3072,,
401858429,2026,1,2026-09-05T00:00:00+00:00,Michigan State,Toledo,False,Spartan Stadium,9.877,2.0,0.0,-0.3,0.0,-0.3,11.58,48.6,-9.5,47.0,2.08,0.7208,none,-9.5,0.4762023707293641,-0.0908863831530321,0.0,,,,,3.253,0.2307,11.3,0.4236,12.888,0.3072,,
401858209,2026,1,2026-09-05T19:30:00+00:00,Duke,Tulane,False,Wallace Wade Stadium,4.78,2.879,0.0,1.5,0.165,1.665,9.32,62.2,-7.5,50.75,1.82,0.681,none,-7.5,0.4594653250816411,-0.12283892484413961,0.0,,,,,1.296,0.2307,9.9,0.4236,0.336,0.3072,,
401856637,2026,1,2026-09-05T23:45:00+00:00,Florida,Florida Atlantic,False,Ben Hill Griffin Stadium,24.862,3.161,0.0,0.272,0.0,0.272,28.29,59.5,-26.5,59.5,1.79,0.9255,none,-26.5,0.5269976027610555,0.006086332543833173,0.0,,,,,24.831,0.2307,21.3,0.4236,29.798,0.3072,,
401858430,2026,1,2026-09-05T16:00:00+00:00,Nebraska,Ohio,False,"Memorial Stadium (Lincoln, NE)",21.788,3.372,0.0,0.206,0.167,0.373,25.53,41.4,-23.75,46.25,1.78,0.9033,none,-23.5,0.5205419555057956,-0.006238084943481048,0.0,,,,,16.799,0.2307,21.1,0.4236,26.485,0.3072,,
401864497,2026,1,2026-09-06T02:00:00+00:00,Hawai'i,UNLV,False,Clarence T.C. Ching Athletics Complex,-8.059,3.393,0.0,-0.867,0.871,0.004,-4.66,65.7,3.0,55.75,-1.66,0.4072,none,-3.0,0.470447330104387,-0.04658099447344921,0.0,,,,,-3.645,0.2307,-6.2,0.4236,-13.933,0.3072,-12.212,0.0004
401858438,2026,1,2026-09-06T23:30:00+00:00,Notre Dame,Wisconsin,True,Lambeau Field,20.976,0.0,0.0,0.969,0.0,0.969,21.95,45.3,-20.5,47.0,1.45,0.8677,none,-20.5,0.5167397444563133,-0.01349685149249269,0.0,,,,,21.038,0.2307,22.7,0.4236,18.552,0.3072,,
401870763,2026,1,2026-09-05T23:00:00+00:00,Troy,Sam Houston,False,Veterans Memorial Stadium (AL),11.919,1.917,0.0,1.5,0.095,1.595,15.43,58.5,-16.75,53.5,-1.32,0.7827,none,17.0,0.4882259983597367,-0.037058521231677244,0.0,,,,,11.063,0.2307,18.0,0.4236,4.176,0.3072,,
401856634,2026,1,2026-09-05T16:00:00+00:00,Alabama,East Carolina,False,Bryant-Denny Stadium,24.915,4.162,0.0,-0.148,0.106,-0.042,29.03,45.7,-27.75,52.5,1.28,0.9308,none,-27.5,0.5271750158171064,0.006425030196293979,0.0,,,,,20.69,0.2307,19.9,0.4236,35.005,0.3072,,
