game_id,season,week,kickoff,home_team,away_team,neutral_site,venue,neutral_margin,hfa,hfa_elevation,coaching,situational,adjustment_total,projected_margin,projected_total,market_spread,market_total,edge,home_win_probability,bet_side,bet_line,cover_probability,expected_value,units,home_points,away_points,actual_margin,bet_result,component_fpi,weight_fpi,component_sp_plus,weight_sp_plus,component_talent,weight_talent
401858425,2026,1,2026-09-05T16:00:00+00:00,Indiana,North Texas,False,"Memorial Stadium (Bloomington, IN)",26.731,3.578,0.0,1.5,0.148,1.648,31.96,60.3,-40.75,55.5,-8.79,0.9488,away,40.75,0.5577251812051993,0.06474807320992604,1.78,,,,,29.541,0.2398,37.4,0.4404,9.906,0.3193
401856662,2026,1,2026-09-05T23:30:00+00:00,Mississippi State,UL Monroe,False,Davis Wade Stadium,33.97,2.446,0.0,0.303,0.0,0.303,36.72,60.6,-28.5,55.5,8.22,0.97,home,-28.5,0.5668999031682956,0.08226345150310987,2.26,,,,,23.337,0.2398,33.7,0.4404,42.329,0.3193
401864577,2026,1,2026-08-29T21:30:00+00:00,North Dakota State,Jacksonville State,False,Fargodome,-0.079,2.697,0.0,-1.5,0.27,-1.23,1.39,58.1,-8.5,48.0,-7.11,0.5279,away,8.5,0.5906973392447861,0.12769492037640984,3.0,,,,,0.139,0.2398,6.0,0.4404,-8.627,0.3193
401858212,2026,1,2026-09-07T23:30:00+00:00,Florida State,SMU,False,Doak Campbell Stadium,-0.46,3.617,0.0,-1.3,0.158,-1.142,2.02,54.1,2.5,53.0,4.52,0.5405,none,2.5,0.5191796092547066,-0.008838927786469108,0.0,,,,,-1.798,0.2398,-3.0,0.4404,4.049,0.3193
401858424,2026,1,2026-09-04T01:00:00+00:00,Illinois,UAB,False,"Memorial Stadium (Champaign, IL)",19.411,2.127,0.0,1.5,0.056,1.556,23.09,63.6,-27.5,57.0,-4.41,0.8799,none,27.5,0.5081622958043243,-0.0298719807371991,0.0,,,,,21.766,0.2398,27.9,0.4404,5.935,0.3193
401856766,2026,1,2026-08-29T16:00:00+00:00,TCU,North Carolina,True,Aviva Stadium,2.076,0.0,0.0,1.5,-0.204,1.296,3.37,50.0,-7.5,48.5,-4.13,0.5674,away,7.5,0.5733733453259325,0.0946218410767804,2.6,,,,,1.456,0.2398,5.9,0.4404,-2.731,0.3193
401856780,2026,1,2026-09-05T16:00:00+00:00,West Virginia,Coastal Carolina,False,Milan Puskar Stadium,11.469,2.631,0.0,1.332,0.038,1.37,15.47,58.6,-19.5,58.0,-4.03,0.7833,none,19.5,0.5223796862389489,-0.002729689907461086,0.0,,,,,12.29,0.2398,13.4,0.4404,8.19,0.3193
401858207,2026,1,2026-09-05T16:30:00+00:00,Pittsburgh,Miami (OH),False,Acrisure Stadium,9.389,2.73,0.0,0.123,0.0,0.123,12.24,48.2,-16.25,50.5,-4.01,0.7319,away,16.25,0.5305528760786234,0.012873672513735723,0.35,,,,,13.61,0.2398,10.2,0.4404,5.099,0.3193
401866408,2026,1,2026-08-29T22:30:00+00:00,Eastern Michigan,Sacramento State,False,Rynearson Stadium,2.39,1.335,0.0,0.215,0.591,0.806,4.53,54.8,-8.5,52.5,-3.97,0.5903,away,8.5,0.5685568617682345,0.08542673610299323,2.35,,,,,-5.894,0.2398,7.3,0.4404,1.84,0.3193
401856772,2026,1,2026-09-05T19:45:00+00:00,Tulsa,Oklahoma State,False,Chapman Stadium,-9.757,0.984,0.0,-0.187,0.0,-0.187,-8.96,59.7,12.75,61.0,3.79,0.3256,home,12.75,0.5410509245739444,0.032915401459348514,0.91,,,,,-12.308,0.2398,-13.0,0.4404,-3.369,0.3193
